Rk,Squad,Country,City,Longitude,Latitude,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer Name2,Goalkeeper
90,Alavés,SPAIN,Álava,-2.7500,42.8333,20,38,8,7,23,31,65,-34,31,0.82,37.3,57,-19.7,-0.52,10952,Joselu - 14,Fernando Pacheco
69,Angers,FRANCE,Angers,-0.5556,47.4728,14,38,10,11,17,44,55,-11,41,1.08,46.5,50,-3.6,-0.09,7758,Sofiane Boufal - 8,Danijel Petkovi?
88,Arminia,GERMANY,Bielefeld,8.5333,52.0167,17,34,5,13,16,27,53,-26,28,0.82,26.3,62.8,-36.6,-1.08,16773,Masaya Okugawa - 8,Stefan Ortega
19,Arsenal,ENGLAND,London,-0.1275,51.5072,5,38,22,3,13,61,48,13,69,1.82,60.5,45.7,14.9,0.39,59665,Bukayo Saka - 11,Aaron Ramsdale
63,Aston Villa,ENGLAND,Birmingham,-1.9025,52.4800,14,38,13,6,19,52,54,-2,45,1.18,44,49,-4.9,-0.13,41681,Ollie Watkins - 11,Emiliano Martínez
34,Atalanta,ITALY,Bergamo,9.6700,45.6950,8,38,16,11,11,65,48,17,59,1.55,62.4,45.3,17.2,0.45,10447,Mario Pašali? - 13,Juan Musso
39,Athletic Club,SPAIN,Bilbao,-2.9533,43.2622,8,38,14,13,11,43,36,7,55,1.45,49.6,38.4,11.3,0.3,32949,Iñaki Williams - 8,Unai Simón
15,Atlético Madrid,SPAIN,Madrid,-3.7033,40.4169,3,38,21,8,9,65,43,22,71,1.87,54.4,33.4,21.1,0.56,48039,Ángel Correa - 12,Jan Oblak
65,Augsburg,GERMANY,Augsburg,10.8978,48.3689,14,34,10,8,16,39,56,-17,38,1.12,36.7,57.9,-21.2,-0.62,15197,Michael Gregoritsch - 9,Rafa? Gikiewicz
11,Barcelona,SPAIN,Barcelona,2.1769,41.3825,2,38,21,10,7,68,38,30,73,1.92,63.4,34.4,29,0.76,53982,Memphis - 12,Marc-André ter Stegen
3,Bayern Munich,GERMANY,Munich,11.5750,48.1375,1,34,24,5,5,97,37,60,77,2.26,89,36.3,52.7,1.55,33176,Robert Lewandowski - 35,Manuel Neuer
23,Betis,SPAIN,Seville,-5.9833,37.3833,5,38,19,8,11,62,40,22,65,1.71,53.5,43.4,10.1,0.27,41749,Juanmi - 16,Rui Silva
57,Bochum,GERMANY,Bochum,7.2167,51.4833,13,34,12,6,16,38,52,-14,42,1.24,40.6,55.8,-15.1,-0.46,14236,Sebastian Polter - 10,Manuel Riemann
62,Bologna,ITALY,Bologna,11.3428,44.4939,13,38,12,10,16,44,55,-11,46,1.21,44.9,52.6,-7.7,-0.2,14158,Marko Arnautovi? - 14,?ukasz Skorupski
91,Bordeaux,FRANCE,Bordeaux,-0.5794,44.8378,20,38,6,13,19,52,91,-39,31,0.82,44.9,66.8,-21.9,-0.58,22141,Hwang Ui-jo - 11,Benoît Costil
61,Brentford,ENGLAND,London,-0.1275,51.5072,13,38,13,7,18,48,56,-8,46,1.21,45.8,48.5,-2.7,-0.07,16918,Ivan Toney - 12,David Raya
53,Brest,FRANCE,"Brest, France",-4.4869,48.3900,11,38,13,9,16,49,57,-8,48,1.26,43.4,56.3,-12.8,-0.34,11804,Franck Honorat - 11,Marco Bizot
45,Brighton,ENGLAND,Brighton and Hove,-0.1528,50.8278,9,38,12,15,11,42,44,-2,51,1.34,46.2,42.9,3.3,0.09,30966,"Leandro Trossard, Neal Maupay - 8",Robert Sánchez
85,Burnley,ENGLAND,Burnley,-2.2481,53.7889,18,38,7,14,17,34,53,-19,35,0.92,39.7,57.1,-17.4,-0.46,19278,Maxwel Cornet - 9,Nick Pope
73,Cádiz,SPAIN,Cádiz,-6.2975,36.5350,17,38,8,15,15,35,51,-16,39,1.03,39.5,48.3,-8.7,-0.23,14055,"Anthony Lozano, Álvaro Negredo - 7",Jeremías Ledesma
93,Cagliari,ITALY,Cagliari,9.1167,39.2167,18,38,6,12,20,34,68,-34,30,0.79,39,61,-21.9,-0.58,9718,João Pedro - 13,Alessio Cragno
59,Celta Vigo,SPAIN,Vigo,-8.7267,42.2358,11,38,12,10,16,43,43,0,46,1.21,43.1,45.7,-2.6,-0.07,10014,Iago Aspas - 18,Matías Dituro
10,Chelsea,ENGLAND,London,-0.1275,51.5072,3,38,21,11,6,76,33,43,74,1.95,63.4,33.2,30.1,0.79,36443,Mason Mount - 11,Edouard Mendy
84,Clermont Foot,FRANCE,Clermont-Ferrand,3.0869,45.7797,17,38,9,9,20,38,69,-31,36,0.95,44.4,52.4,-8,-0.21,10569,Mohamed Lamine Bayo - 14,Ouparine Djoco
51,Crystal Palace,ENGLAND,London,-0.1275,51.5072,12,38,11,15,12,50,46,4,48,1.26,46.4,40.7,5.7,0.15,24588,Wilfried Zaha - 14,Vicente Guaita
9,Dortmund,GERMANY,Dortmund,7.4653,51.5139,2,34,22,3,9,85,52,33,69,2.03,64,46.3,17.7,0.52,41800,Erling Haaland - 22,Gregor Kobel
55,Eint Frankfurt,GERMANY,Frankfurt,8.6822,50.1106,11,34,10,12,12,45,49,-4,42,1.24,41.6,47,-5.4,-0.16,26162,Rafael Borré - 8,Kevin Trapp
67,Elche,SPAIN,Elche,-0.6983,38.2669,13,38,11,9,18,40,52,-12,42,1.11,33.7,59.1,-25.4,-0.67,15640,Pere Milla - 8,Édgar Badía
70,Empoli,ITALY,Empoli,10.9500,43.7167,14,38,10,11,17,50,70,-20,41,1.08,44.9,66,-21.2,-0.56,6356,Andrea Pinamonti - 13,Guglielmo Vicario
68,Espanyol,SPAIN,Barcelona,2.1769,41.3825,14,38,10,12,16,40,53,-13,42,1.11,36.7,51.2,-14.5,-0.38,17362,Raúl de Tomás - 17,Diego López
74,Everton,ENGLAND,Liverpool,-2.9919,53.4075,16,38,11,6,21,43,66,-23,39,1.03,41.2,55.4,-14.2,-0.37,38446,Richarlison - 10,Jordan Pickford
29,Fiorentina,ITALY,Florence,11.2542,43.7714,7,38,19,5,14,59,51,8,62,1.63,60,40.6,19.4,0.51,21107,Dušan Vlahovi? - 17,Pietro Terracciano
31,Freiburg,GERMANY,Freiburg im Breisgau,7.8500,47.9950,6,34,15,10,9,58,46,12,55,1.62,50.4,44,6.4,0.19,18741,Vincenzo Grifo - 9,Mark Flekken
94,Genoa,ITALY,Genoa,8.9340,44.4072,19,38,4,16,18,27,60,-33,28,0.74,37.2,54.1,-16.9,-0.44,12326,Mattia Destro - 9,Salvatore Sirigu
72,Getafe,SPAIN,Madrid,-3.7033,40.4169,15,38,8,15,15,33,41,-8,39,1.03,29.3,38.6,-9.3,-0.25,8702,Enes Ünal - 16,David Soria
77,Granada,SPAIN,Granada,-3.6008,37.1781,18,38,8,14,16,44,61,-17,38,1,39,61.2,-22.2,-0.59,13710,Jorge Molina - 10,Luís Maximiano
98,Greuther Fürth,GERMANY,Fürth,10.9903,49.4783,18,34,3,9,22,28,82,-54,18,0.53,30,60.2,-30.2,-0.89,7672,Branimir Hrgota - 9,Sascha Burchert
41,Hellas Verona,ITALY,Verona,10.9928,45.4386,9,38,14,11,13,65,59,6,53,1.39,50.4,49,1.4,0.04,13894,Giovanni Simeone - 17,Lorenzo Montipò
80,Hertha BSC,GERMANY,Berlin,13.405,52.52,16,34,9,6,19,37,71,-34,33,0.97,33.3,54.3,-21,-0.62,23500,Stevan Joveti? - 6,Alexander Schwolow
44,Hoffenheim,GERMANY,Hoffenheim,8.8444,49.2722,9,34,13,7,14,58,60,-2,46,1.35,58.3,54.6,3.7,0.11,11227,Georginio Rutter - 8,Oliver Baumann
7,Inter,ITALY,Milan,9.1900,45.4669,2,38,25,9,4,84,32,52,84,2.21,81.6,39.1,42.5,1.12,44473,Lautaro Martínez - 21,Samir Handanovi?
17,Juventus,ITALY,Turin,7.6761,45.0792,4,38,20,10,8,57,37,20,70,1.84,51.4,38.1,13.4,0.35,22621,Paulo Dybala - 10,Wojciech Szcz?sny
35,Köln,GERMANY,Cologne,6.9578,50.9422,7,34,14,10,10,52,49,3,52,1.53,50.1,50.6,-0.6,-0.02,31965,Anthony Modeste - 20,Marvin Schwäbe
24,Lazio,ITALY,Rome,12.4828,41.8931,5,38,18,10,10,77,58,19,64,1.68,55.3,47.7,7.6,0.2,23263,Ciro Immobile - 27,Thomas Strakosha
78,Leeds United,ENGLAND,Leeds,-1.5436,53.7975,17,38,9,11,18,42,79,-37,38,1,44.4,67.8,-23.5,-0.62,36308,Raphinha - 11,Illan Meslier
42,Leicester City,ENGLAND,Leicester,-1.1333,52.6333,8,38,14,10,14,62,59,3,52,1.37,47.8,59.3,-11.5,-0.3,32493,Jamie Vardy - 15,Kasper Schmeichel
28,Lens,FRANCE,"Lens, Pas-de-Calais",2.8325,50.4314,7,38,17,11,10,62,48,14,62,1.63,50.2,42.7,7.5,0.2,28950,Arnaud Kalimuendo - 12,Jean-Louis Leca
86,Levante,SPAIN,Valencia,-0.3764,39.4700,19,38,8,11,19,51,76,-25,35,0.92,55.1,55,0.1,0,14961,José Luis Morales - 13,Cárdenas
12,Leverkusen,GERMANY,Leverkusen,6.9833,51.0333,3,34,19,7,8,80,47,33,64,1.88,62.6,44,18.6,0.55,17356,Patrik Schick - 24,Lukáš Hrádecký
40,Lille,FRANCE,Lille,3.0575,50.6319,10,38,14,13,11,48,48,0,55,1.45,50.5,39.9,10.6,0.28,34346,Jonathan David - 15,Ivo Grbi?
2,Liverpool,ENGLAND,Liverpool,-2.9919,53.4075,2,38,28,8,2,94,26,68,92,2.42,88.7,33.8,54.9,1.45,53352,Mohamed Salah - 23,Alisson
82,Lorient,FRANCE,Lorient,-3.3664,47.7458,16,38,8,12,18,35,63,-28,36,0.95,41.3,50.5,-9.2,-0.24,12738,Terem Moffi - 8,Paul Nardi
32,Lyon,FRANCE,Lyon,4.8414,45.7589,8,38,17,11,10,66,51,15,61,1.61,66.9,54.6,12.4,0.33,32329,Moussa Dembélé - 21,Anthony Lopes
43,Mainz 05,GERMANY,Mainz,8.2736,49.9994,8,34,13,7,14,50,45,5,46,1.35,50.4,43.9,6.5,0.19,17978,Jonathan Burkardt - 11,Robin Zentner
75,Mallorca,SPAIN,Mallorca,2.9833,39.6167,16,38,10,9,19,36,63,-27,39,1.03,38.8,49.3,-10.5,-0.28,12712,"Vedat Muriqi, Salva Sevilla - 5",Manolo Reina
1,Manchester City,ENGLAND,Manchester,-2.2333,53.4667,1,38,29,6,3,99,26,73,93,2.45,88.7,24.6,64,1.68,52774,Kevin De Bruyne - 15,Ederson
36,Manchester Utd,ENGLAND,Manchester,-2.2333,53.4667,6,38,16,10,12,57,57,0,58,1.53,55.8,53,2.8,0.07,73150,Cristiano Ronaldo - 18,David de Gea
14,Marseille,FRANCE,Marseille,5.3764,43.2967,2,38,21,8,9,63,38,25,71,1.87,58.2,39,19.2,0.51,51755,Dimitri Payet - 12,Pau López
89,Metz,FRANCE,Metz,6.1769,49.1197,19,38,6,13,19,35,69,-34,31,0.82,29.2,62.5,-33.4,-0.88,14876,Nicolas de Préville - 5,Alexandre Oukidja
49,M'Gladbach,GERMANY,Mönchengladbach,6.4333,51.2000,10,34,12,9,13,54,61,-7,45,1.32,56.2,55,1.2,0.04,26539,Jonas Hofmann - 12,Yann Sommer
6,Milan,ITALY,Milan,9.1900,45.4669,1,38,26,8,4,69,31,38,86,2.26,59.7,35.9,23.8,0.63,44015,"Olivier Giroud, Rafael Leão - 11",Mike Maignan
18,Monaco,FRANCE,Monaco City,7.4248,43.7310,3,38,20,9,9,65,40,25,69,1.82,59.3,40.3,19,0.5,5877,Wissam Ben Yedder - 25,Alexander Nübel
64,Montpellier,FRANCE,Montpellier,3.8772,43.6109,13,38,12,7,19,49,61,-12,43,1.13,42.7,57.1,-14.4,-0.38,10711,Elye Wahi - 10,Jonas Omlin
38,Nantes,FRANCE,Nantes,-1.5539,47.2172,9,38,15,10,13,55,48,7,55,1.45,45.5,52.7,-7.2,-0.19,20803,Randal Kolo Muani - 12,Alban Lafont
8,Napoli,ITALY,Naples,14.2500,40.8333,3,38,24,7,7,74,31,43,79,2.08,57.8,32.5,25.3,0.67,28119,Victor Osimhen - 14,David Ospina
50,Newcastle Utd,ENGLAND,Newcastle upon Tyne,-1.6133,54.9778,11,38,13,10,15,44,62,-18,49,1.29,38.1,57.1,-19,-0.5,51487,Callum Wilson - 8,Martin Dúbravka
21,Nice,FRANCE,Nice,7.2683,43.7019,5,38,20,7,11,52,36,16,66,1.74,55.6,42.5,13.1,0.35,16055,Andy Delort - 16,Walter Benítez
97,Norwich City,ENGLAND,Norwich,1.2928,52.6286,20,38,5,7,26,23,84,-61,22,0.58,32.3,75.5,-43.2,-1.14,26836,Teemu Pukki - 11,Tim Krul
58,Osasuna,SPAIN,Pamplona,-1.6500,42.8167,10,38,12,11,15,37,51,-14,47,1.24,36.7,46.3,-9.6,-0.25,17107,Ante Budimir - 8,Sergio Herrera
4,Paris S-G,FRANCE,Paris,2.3522,48.8567,1,38,26,8,4,90,36,54,86,2.26,76.7,39.8,36.9,0.97,41589,Kylian Mbappé - 28,Keylor Navas
